dni;id_asig;convocatoria;calificacion
10000000A;1;01/09/2022;1,23
10000300B;2;02/09/2022;1,23
10000600R;3;03/09/2022;1,23
10000900G;4;04/09/2022;1,23
10001200G;5;05/09/2022;1,23
10001500P;6;06/09/2022;1,23
10001803R;7;07/09/2022;1,23
10002100D;8;08/09/2022;3,56
10002400Z;9;09/09/2022;3,56
10000700T;10;10/09/2022;3,56
10002700Y;11;11/09/2022;3,56
10002720U;12;12/09/2022;3,56
10002740L;13;13/09/2022;3,56
10002760D;14;14/09/2022;3,56
10002780A;15;15/09/2022;3,56
10002800Q;16;16/09/2022;3,56
10002820W;17;17/09/2022;3,56
10002840E;18;18/09/2022;3,56
10002860G;19;19/09/2022;3,56
10002880R;20;20/09/2022;3,56
10002900Y;21;21/09/2022;3,56
10002920U;22;22/09/2022;3,56
10002940I;23;23/09/2022;7,51
10002960O;24;24/09/2022;7,51
10002980P;25;25/09/2022;7,51
10003000Z;26;26/09/2022;7,51
10003020L;27;27/09/2022;7,51
10003040K;28;28/09/2022;7,51
10003060J;29;29/09/2022;7,51
10003080H;30;30/09/2022;7,51
10003100G;31;01/10/2022;7,51
10003120F;32;02/10/2022;7,51
10003140D;33;03/10/2022;7,51
10003160S;34;04/10/2022;7,51
10003180A;35;05/10/2022;7,51
10003200Z;36;06/10/2022;7,51
10003220X;37;07/10/2022;7,51
10003240C;38;08/10/2022;7,51
10003260V;39;09/10/2022;7,51
10003280B;40;10/10/2022;7,51
10003300N;41;11/10/2022;5,18
10003320M;42;12/10/2022;5,18
10003340Q;43;13/10/2022;5,18
10003360W;44;14/10/2022;5,18
10003380E;45;15/10/2022;5,18
10003400A;46;16/10/2022;5,18
10003420S;47;17/10/2022;5,18
10003440D;48;18/10/2022;5,18
10003460Z;49;19/10/2022;5,18
10003480X;50;20/10/2022;5,18
10003500C;51;21/10/2022;5,18
10003520R;52;22/10/2022;4,23
10003540T;53;23/10/2022;4,23
10003560Y;54;24/10/2022;4,23
10003580F;55;25/10/2022;4,23
10003600G;56;26/10/2022;4,23
10003620H;57;27/10/2022;4,23
10003640V;58;28/10/2022;4,23
10003660B;59;29/10/2022;4,23
10003680N;60;30/10/2022;4,23
10003700I;61;31/10/2022;4,23
10003720O;62;01/11/2022;4,23
10003740P;63;02/11/2022;4,23
10003760K;64;03/11/2022;4,23
10003780L;65;04/11/2022;4,23
10003800E;66;05/11/2022;5,78
10003820B;67;06/11/2022;5,78
10003840N;68;07/11/2022;5,78
10003860M;69;08/11/2022;5,78
10003880Q;70;09/11/2022;5,78
10003900A;71;10/11/2022;5,78
10003920Z;72;11/11/2022;5,78
10003940W;73;12/11/2022;5,78
10003960S;74;13/11/2022;8,31
10003980X;75;14/11/2022;8,31
10004000E;76;15/11/2022;8,31
10004020D;77;16/11/2022;8,31
10004040C;78;17/11/2022;8,31
10004060R;79;18/11/2022;8,31
10004080F;80;19/11/2022;8,31
10004100V;81;20/11/2022;8,31
10004120T;82;21/11/2022;8,31
10004140G;83;22/11/2022;8,31
10004160B;84;23/11/2022;8,31
10004180Y;85;24/11/2022;8,31
10004200H;86;25/11/2022;8,31
10004220N;87;26/11/2022;6,21
10004240U;88;27/11/2022;6,21
10004260J;89;28/11/2022;6,21
10004280M;90;29/11/2022;6,21
10004300I;91;30/11/2022;6,21
10004320K;92;01/12/2022;6,21
10004340O;93;02/12/2022;6,21
10004360L;94;03/12/2022;6,21
10004380P;95;04/12/2022;6,21
10004402L;96;05/12/2022;6,21
10004420Q;97;06/12/2022;6,21
10004440W;98;07/12/2022;9,17
10004460E;99;08/12/2022;9,17
10004480R;100;09/12/2022;9,17
10004500T;101;10/12/2022;9,17
10004520Y;102;11/12/2022;9,17
10004540U;103;12/12/2022;9,17
10004560I;104;13/12/2022;9,17
10004580D;105;14/12/2022;9,17
10004600F;106;15/12/2022;9,17
10004620A;107;16/12/2022;9,17
10004640H;108;17/12/2022;9,17
10004660C;109;18/12/2022;1,61
10004680H;110;19/12/2022;1,61
10004700Z;111;20/12/2022;1,61
10004720S;112;21/12/2022;1,61
10004740F;113;22/12/2022;1,61
10004760R;114;23/12/2022;1,61
10004780E;115;24/12/2022;1,61
10004800Q;116;25/12/2022;1,61
10004820A;117;26/12/2022;1,61
1H0004840;118;27/12/2022;1,61
G10004860;119;28/12/2022;1,61
B10004880;120;29/12/2022;1,61
10004900O;121;30/12/2022;1,61
10004920T;122;31/12/2022;1,61
10004940E;123;01/01/2023;7,55
10004960D;124;02/01/2023;7,55
10004980C;125;03/01/2023;7,55
10005000V;126;04/01/2023;7,55
10005020B;127;05/01/2023;7,55
10005040N;128;06/01/2023;7,55
10005060A;129;07/01/2023;7,55
10005080T;130;08/01/2023;7,55
10005100N;131;09/01/2023;7,55
10005120A;132;10/01/2023;7,55
10005140H;133;11/01/2023;8,22
10005160G;134;12/01/2023;8,22
10005180S;135;13/01/2023;8,22
10005200H;136;14/01/2023;8,22
10005220V;137;15/01/2023;8,22
10005240J;138;16/01/2023;8,22
10005260W;139;17/01/2023;8,22
10005280N;140;18/01/2023;8,22
10005457F;141;19/01/2023;8,22
10005320H;142;20/01/2023;8,22
10005340R;143;21/01/2023;8,22
10005360A;144;22/01/2023;8,22
10005380C;145;23/01/2023;8,22
10005400J;146;24/01/2023;8,22
10005420K;147;25/01/2023;8,22
10005440L;148;26/01/2023;8,22
10005460Q;149;27/01/2023;8,22
10005480G;150;28/01/2023;8,22
