nrp;nombre;area;categoria;depto
1;Alexander;Dramatics;IT;1
2;Chester;Leadership;Management;2
3;Bart;Mathematics;Marketing;3
4;George;Grammar;Purchasing;4
5;Eduardo;Spanish;IT;5
6;Benny;Latin;Operations;6
7;Roger;French;Accounting;7
8;Harry;Mathematics;Operations;8
9;Johnathan;Dramatics;Operations;9
10;Johnathan;Spanish;IT;10
11;Marvin;Dramatics;Marketing;1
12;Anthony;Latin;Research ;2
13;Cedrick;Latin;Accounting;3
14;Clint;Science;Management;4
15;John;LOGIC;Purchasing;5
16;Brad;Design and technology;Finance;6
17;Roger;Speech;Accounting;7
18;Manuel;Instrumental Music;IT;8
19;Harry;Sociology;IT;9
20;Harvey;LOGIC;Sales;10
21;Bart;Health;Purchasing;1
22;Kieth;Instrumental Music;Management;2
23;Matt;Speech;Accounting;3
24;Barney;Health;IT;4
25;Leroy;Physical Education;Purchasing;5
26;Tyson;Modern Literature;Finance;6
27;Tony;LOGIC;Finance;7
28;Ramon;Earth Science;Operations;8
29;Elijah;Accounting;Marketing;9
30;Rick;Instrumental Music;Human Resources;10
31;Hank;Earth Science;Sales;1
32;Chuck;Spanish;Research ;2
33;Benjamin;Leadership;Marketing;3
34;Clint;Modern Literature;Sales;4
35;Jack;Instrumental Music;Human Resources;5
36;Joseph;Latin;Human Resources;6
37;Logan;Handwriting;IT;7
38;Chris;Dramatics;IT;8
39;Phillip;Leadership;Sales;9
40;Eduardo;Grammar;Sales;10
41;Erick;Science;Finance;1
42;Chester;Modern Literature;Marketing;2
43;Ryan;Handwriting;Accounting;3
44;Julian;Grammar;Sales;4
45;George;Resource Program;Marketing;5
46;Leroy;Grammar;Sales;6
47;Enoch;Basic Math;Operations;7
48;Mark;Geography;Purchasing;8
49;Mark;Science;Finance;9
50;Ramon;History;Accounting;10
