telf;n_hist
675219868;1
636117026;2
613573775;3
686796198;4
667090624;5
601447350;6
603950204;7
610303389;8
673538572;9
667194194;10
667759754;11
680969641;12
638533073;13
637908635;14
615528679;15
622686474;16
600308403;17
612198904;18
672751984;19
652251884;20
686875988;21
682110581;22
667381548;23
698948093;24
625817604;25
674024253;26
623984107;27
681562511;28
699703803;29
660104262;30
604155983;31
654759303;32
614153371;33
623450483;34
657986803;35
634001898;36
698374131;37
631801391;38
650679267;39
629824511;40
649418417;41
644454684;42
685209696;43
699389321;44
685070015;45
636701924;46
635987394;47
679910204;48
680866865;49
648662660;50
