Empresa;ayudante;fecha_contrato
1;35566363A;2020-10-10
2;35566364B;2020-10-11
3;35566365B;2020-10-12
4;35566366A;2020-10-13
5;35566367A;2020-10-14
6;35566368B;2020-10-15
7;35566369A;2020-10-16
8;35566370A;2020-10-17
9;35566371V;2020-10-18
10;35566372D;2020-10-19
1;35566373Q;2020-10-20
2;35566374E;2020-10-21
3;35566375S;2020-10-22
4;35566376T;2020-10-23
5;35566377G;2020-10-24
6;35566378H;2020-10-25
7;35566379Y;2020-10-26
8;35566380G;2020-10-27
9;35566381D;2020-10-28
10;35566382A;2020-10-29
1;35566383S;2020-10-30
2;35566384X;2020-10-31
3;35566385Q;2020-11-01
4;35566386E;2020-11-02
5;35566387R;2020-11-03
6;35566388S;2020-11-04
7;35566389A;2020-11-05
8;35566390T;2020-11-06
9;35566391C;2020-11-07
10;35566392H;2020-11-08
1;35566393J;2020-11-09
2;35566394A;2020-11-10
3;35566395Q;2020-11-11
4;35566396A;2020-11-12
5;35566397B;2020-11-13
6;35566398C;2020-11-14
7;35566399D;2020-11-15
8;35566400R;2020-11-16
9;35566401T;2020-11-17
10;35566402G;2020-11-18
1;35566403H;2020-11-19
2;35566404J;2020-11-20
3;35566405K;2020-11-21
4;35566406K;2020-11-22
5;35566407K;2020-11-23
6;35566408L;2020-11-24
7;35566409D;2020-11-25
8;35566410A;2020-11-26
9;35566411B;2020-11-27
10;35566412C;2020-11-28
