Numero;Invento;Inventor;Fecha_Obtencion;Fecha_Compra;Empresa
1;Ingocal;10000000A;2020-07-26;;1
2;Nime;10000300B;2021-08-24;;2
3;Ingocal;10000600R;2020-04-11;;3
4;Crayze;10000900G;2021-12-09;;4
5;DeskGet;10001200G;2021-12-29;;5
6;Andes Shop;10001500P;2021-01-02;;6
7;MemoMe;10001803R;2020-12-29;;7
8;Gusto Mobile;10002100D;2021-02-20;;8
9;Sist;10002400Z;2020-03-23;;9
10;SolSol;10000700T;2021-11-10;;10
11;Nime;10002700Y;2021-10-19;;1
12;Kulop;10002720U;2020-03-04;;2
13;LilyGrate;10002740L;2020-03-07;;3
14;Enmeet;10002760D;2020-08-02;;4
15;Baywtch;10002780A;2021-04-26;;5
16;Yalp;10002800Q;2021-08-20;;6
17;Man Mobile;10002820W;2021-12-31;;7
18;Orty;10002840E;2021-07-25;;8
19;Paize;10002860G;2021-01-08;;9
20;Mettcal;10002880R;2021-11-04;;10
21;MemoMe;10002900Y;2021-06-15;;1
22;Rook;10002920U;2020-07-18;;2
23;Solaplay;10002940I;2021-11-24;;3
24;Baywtch;10002960O;2021-09-18;;4
25;Enmeet;10002980P;2020-10-30;;5
26;Ingocal;10003000Z;2021-11-09;;6
27;DeskGet;10003020L;2021-10-06;;7
28;ROF;10003040K;2020-02-10;;8
29;Koob;10003060J;2020-05-22;;9
30;Bookoread;10003080H;2020-05-03;;10
31;BeReady;10003100G;2022-01-24;;1
32;Baywtch;10003120F;2021-12-08;;2
33;Solo Mobile;10003140D;2021-01-01;;3
34;Gniteem;10003160S;2020-02-21;;4
35;Orty;10003180A;2021-11-16;;5
36;Andes Shop;10003200Z;2020-07-23;;6
37;Shoplist;10003220X;2021-05-04;;7
38;Avatar Mobile;10003240C;2021-11-30;;8
39;Aor;10003260V;2020-06-04;;9
40;Shost;10003280B;2020-04-20;;10
41;Sist;10003300N;2021-01-11;;1
42;Plalitaire;10003320M;2020-02-15;;2
43;Nime;10003340Q;2020-03-06;;3
44;Baywtch;10003360W;2021-04-12;;4
45;Gniteem;10003380E;2021-11-30;;5
46;Partnip;10003400A;2021-07-03;;6
47;ROF;10003420S;2020-09-11;;7
48;Nime;10003440D;2020-07-13;;8
49;Yalp;10003460Z;2020-08-05;;9
50;Shoplist;10003480X;2021-04-22;;10
51;Crayze;10003500C;2020-07-15;;1
52;Mettcal;10003520R;2020-07-29;;2
53;Partnip;10003540T;2022-01-17;2020-09-12;3
54;ReadABook;10003560Y;2021-06-19;2021-06-03;4
55;Trafor;10003580F;2021-02-04;2021-04-10;5
56;Page One Shop;10003600G;2020-12-07;2021-10-15;6
57;Gniteem;10003620H;2020-12-06;2021-07-28;7
58;Solaplay;10003640V;2020-07-25;2020-03-25;8
59;SolSol;10003660B;2020-08-13;2020-04-28;9
60;Kulop;10003680N;2021-01-09;2022-01-31;10
61;Crayze;10003700I;2021-07-18;2021-07-23;1
62;Tracking Mobile;10003720O;2020-04-23;2020-03-16;2
63;Shoplist;10003740P;2021-06-18;2021-07-05;3
64;Nime;10003760K;2021-03-29;2020-12-21;4
65;Rook;10003780L;2021-11-23;2021-01-07;5
66;Vrigo;10003800E;2020-05-09;2021-03-22;6
67;DeskGet;10003820B;2020-09-23;2021-02-10;7
68;Avatar Mobile;10003840N;2020-02-11;2021-04-08;8
69;Solo Mobile;10003860M;2021-08-27;2020-12-24;9
70;ShopFactory;10003880Q;2020-11-05;2021-04-10;10
71;Man Mobile;10003900A;2021-11-29;2021-08-21;1
72;Rook;10003920Z;2021-12-29;2021-11-05;2
73;Rook;10003940W;2021-05-16;2021-09-06;3
74;Ingocal;10003960S;2021-01-24;2020-03-02;4
75;Avatar Mobile;10003980X;2021-12-30;2021-05-25;5
76;Man Mobile;10004000E;2020-09-22;2020-10-17;6
77;SolSol;10004020D;2020-12-21;2021-09-26;7
78;Enmeet;10004040C;2021-05-09;2021-02-28;8
79;Prayons;10004060R;2021-03-25;2020-12-23;9
80;Ytrap;10004080F;2020-04-19;2021-12-08;10
81;Prayons;10004100V;2020-07-12;2020-03-23;1
82;Ytrap;10004120T;2021-08-24;2020-11-11;2
83;Koob;10004140G;2020-04-13;2021-12-05;3
84;Lopping;10004160B;2020-08-04;2021-09-26;4
85;Gniteem;10004180Y;2020-06-24;2020-09-17;5
86;Enmeet;10004200H;2020-05-12;2020-06-03;6
87;Plalitaire;10004220N;2020-03-02;2021-03-09;7
88;Run24;10004240U;2021-03-20;2020-10-23;8
89;Bookoread;10004260J;2021-11-16;2021-08-18;9
90;Trafor;10004280M;2021-11-22;2020-10-11;10
91;LilyGrate;10004300I;2020-08-01;2020-12-29;1
92;Vrigo;10004320K;2021-11-21;2020-11-08;2
93;Caint;10004340O;2021-03-03;2021-01-25;3
94;Trafor;10004360L;2021-05-27;2021-05-20;4
95;BeReady;10004380P;2021-09-26;2021-05-14;5
96;Orty;10004402L;2020-10-10;2022-01-15;6
97;Shoplist;10004420Q;2020-12-24;2020-05-24;7
98;Gusto Mobile;10004440W;2021-12-11;2020-03-16;8
99;Andes Shop;10004460E;2020-07-06;2021-10-12;9
100;Shoplist;10004480R;2021-07-29;2020-10-26;10
101;Baywtch;10004500T;2020-08-22;2021-06-02;1
102;Yola;10004520Y;2020-11-13;2020-02-10;2
103;Aor;10004540U;2020-07-08;2020-03-17;3
104;SolSol;10004560I;2020-04-23;2021-05-20;4
105;Paize;10004580D;2021-04-24;2020-07-13;5
106;MemoMe;10004600F;2020-04-21;2020-04-15;6
107;Yalp;10004620A;2020-11-18;2021-12-08;7
108;Mettcal;10004640H;2020-09-14;2021-09-21;8
109;Man Mobile;10004660C;2020-09-09;2021-08-19;9
110;Paize;10004680H;2021-12-26;2021-09-28;10
111;LilyGrate;10004700Z;2020-06-13;2020-03-18;1
112;Gniteem;10004720S;2020-05-27;2021-04-06;2
113;Baywtch;10004740F;2021-03-15;2021-12-04;3
114;Paize;10004760R;2020-11-20;2020-09-19;4
115;Solaplay;10004780E;2020-05-06;2022-02-05;5
116;Tracking Mobile;10004800Q;2021-01-29;2020-12-16;6
117;MemoMe;10004820A;2021-04-22;2020-09-12;7
118;Aor;1H0004840;2022-02-04;2020-03-12;8
119;ShopFactory;G10004860;2021-03-26;2021-08-11;9
120;Rook;B10004880;2021-03-11;2021-11-02;10
121;Tracking Mobile;10004900O;2021-03-07;2020-11-12;1
122;Kulop;10004920T;2021-12-17;2020-09-18;2
123;MyGameNight;10004940E;2020-06-19;2020-03-31;3
124;Trafor;10004960D;2020-02-27;2021-07-31;4
125;Tracking Mobile;10004980C;2021-04-19;2020-04-18;5
126;Ytrap;10005000V;2022-01-10;2021-01-23;6
127;Andes Shop;10005020B;2020-05-09;2022-01-13;7
128;BeReady;10005040N;2021-01-04;2020-10-07;8
129;Vrigo;10005060A;2020-08-13;2021-01-28;9
130;Solaplay;10005080T;2021-05-24;2020-10-17;10
131;Gusto Mobile;10005100N;2020-08-17;2021-10-18;1
132;Nime;10005120A;2020-09-30;2020-06-10;2
133;Lopping;10005140H;2021-06-14;2021-07-05;3
134;Ytrap;10005160G;2020-09-19;2020-06-01;4
135;Orty;10005180S;2020-04-21;2021-01-04;5
136;Shoplist;10005200H;2020-09-03;2021-05-12;6
137;MemoMe;10005220V;2021-11-04;2020-12-05;7
138;Man Mobile;10005240J;2022-01-03;2020-02-22;8
139;Mettcal;10005260W;2022-01-21;2020-02-26;9
140;Redsky;10005280N;2021-03-25;2021-07-08;10
141;Resinagro;10005457F;2021-07-07;2020-07-25;1
142;Crayze;10005320H;2020-09-23;2021-10-04;2
143;Solaplay;10005340R;2022-01-24;2020-11-14;3
144;Mettcal;10005360A;2021-01-29;2021-06-26;4
145;Ytrap;10005380C;2021-12-25;2020-03-26;5
146;Page One Shop;10005400J;2021-08-24;2020-10-25;6
147;Yalp;10005420K;2020-06-18;2021-05-23;7
148;Andes Shop;10005440L;2021-02-28;2020-06-09;8
149;ReadABook;10005460Q;2021-07-30;2021-05-02;9
150;LilyGrate;10005480G;2020-07-15;2020-12-25;10
