"DNI","nombre","telefono"
"02302823V",Penelope,"8-271-150-2275"
"02317715M",Sage,"4-574-384-6366"
"02573534H",Erick,"5-627-388-4673"
"02584510T",John,"1-402-444-2510"
"02747669C",Elisabeth,"7-300-031-4014"
"03184043S",Domenic,"1-272-572-2546"
"03202993J",Manuel,"8-265-550-4334"
"03942490Z",Priscilla,"5-801-114-8266"
"03955671Q",Josephine,"5-607-812-3782"
"03958689K",Kurt,"6-845-158-4438"
"04863591B",Mike,"0-388-482-2141"
"05323057Y",Harvey,"8-232-205-6717"
"05442340B",Ivette,"1-420-882-8463"
"05443727H",Rosalee,"8-013-665-3814"
"05451166M",Celina,"4-658-672-0567"
"05729990T",Sonya,"5-846-340-8063"
"06028709H",Hayden,"6-816-255-7544"
"06287373R",Barney,"7-754-734-5065"
